dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6993,0.6708,0.7362,0.598,0.206,0.6815,0.7464,0.5927,0.2035
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6988,0.672,0.7363,0.5981,0.206,0.6801,0.7464,0.5927,0.2035
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6997,0.6794,0.7351,0.5981,0.206,0.6743,0.7414,0.6032,0.2078
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6996,0.68,0.7349,0.5981,0.206,0.6761,0.7423,0.6002,0.2066
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6996,0.6791,0.7351,0.5981,0.206,0.6743,0.7413,0.6034,0.2079
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.7002,0.6836,0.7352,0.5981,0.206,0.6757,0.7423,0.6023,0.2074
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6993,0.6699,0.7366,0.5982,0.2061,0.6809,0.7466,0.5928,0.2035
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6993,0.6705,0.7366,0.5982,0.206,0.6813,0.7466,0.5927,0.2035
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6974,0.6732,0.7345,0.5983,0.206,0.6846,0.7457,0.5899,0.2024
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6995,0.6699,0.7365,0.5983,0.2061,0.6813,0.7466,0.593,0.2036
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6995,0.6699,0.7365,0.5983,0.2061,0.6813,0.7466,0.593,0.2036
