feature,coefficient,abs_coefficient
lineup_top8_gmsc30_diff,0.4085457000708097,0.4085457000708097
lineup_plus_minus_diff,0.40459794632448143,0.40459794632448143
lineup_total_gmsc30_diff,-0.39467591042131045,0.39467591042131045
pre_elo_diff,0.27740478327168666,0.27740478327168666
lineup_top8_gmsc82_diff,0.25742034012173,0.25742034012173
form10_net_rating_diff,0.09709000509219169,0.09709000509219169
form10_win_pct_diff,-0.07801589960888687,0.07801589960888687
rest_days_diff,0.05947826934066201,0.05947826934066201
prev_season_win_pct_diff,0.05692959555035706,0.05692959555035706
home_missing_rotation_gmsc30,-0.04622499551471627,0.04622499551471627
lineup_top8_gmsc10_diff,-0.04543419225536302,0.04543419225536302
missing_rotation_gmsc30_diff,-0.03625825957355117,0.03625825957355117
regular_defensive_rating_diff,-0.035702592148645865,0.035702592148645865
prev_season_net_rating_diff,-0.032442211999209304,0.032442211999209304
regular_rebound_percentage_diff,0.01978634421467718,0.01978634421467718
regular_true_shooting_percentage_diff,0.016266238262916736,0.016266238262916736
regular_net_rating_diff,0.014828982133197133,0.014828982133197133
regular_offensive_rating_diff,-0.01372555920793253,0.01372555920793253
home_back_to_back,-0.013229257947979967,0.013229257947979967
regular_win_pct_diff,0.010907851335282017,0.010907851335282017
away_back_to_back,0.00866192748827833,0.00866192748827833
away_missing_rotation_gmsc30,0.0037403353759111174,0.0037403353759111174
regular_team_turnover_percentage_diff,-0.0028998930431666024,0.0028998930431666024
