feature,coefficient,abs_coefficient,direction
regular_point_diff_per_game_diff,0.4241937617315484,0.4241937617315484,helps_home_win
regular_net_rating_z_diff,-0.31256816962759354,0.31256816962759354,hurts_home_win
regular_net_rating_diff,0.2895646866128223,0.2895646866128223,helps_home_win
regular_defensive_rating_z_diff,0.27287205862323377,0.27287205862323377,helps_home_win
away_regular_fg_pct,0.17693096614897935,0.17693096614897935,helps_home_win
regular_opponent_effective_field_goal_percentage_pctile_diff,-0.17018464809709477,0.17018464809709477,hurts_home_win
away_regular_bench_points_per_game,0.16655187177576722,0.16655187177576722,helps_home_win
home_regular_bench_points_per_game,-0.16425984301542043,0.16425984301542043,hurts_home_win
away_regular_true_shooting_percentage,-0.16294068624013575,0.16294068624013575,hurts_home_win
home_regular_points_off_turnovers_per_game,-0.14387383631610823,0.14387383631610823,hurts_home_win
away_regular_points_off_turnovers_per_game,0.1306307982522752,0.1306307982522752,helps_home_win
away_regular_effective_field_goal_percentage,-0.11281885221467368,0.11281885221467368,hurts_home_win
home_regular_point_diff_per_game,0.1040128999048251,0.1040128999048251,helps_home_win
away_regular_possessions_per_game,0.10235447438504817,0.10235447438504817,helps_home_win
home_regular_opponent_effective_field_goal_percentage_z,0.10233747492805766,0.10233747492805766,helps_home_win
regular_win_pct_pctile_diff,0.10225410504205802,0.10225410504205802,helps_home_win
home_regular_net_rating_pctile,0.09930040535676943,0.09930040535676943,helps_home_win
home_regular_offensive_rebound_percentage_z,-0.09270250876658419,0.09270250876658419,hurts_home_win
away_regular_three_pt_pct,0.08847282287482715,0.08847282287482715,helps_home_win
away_regular_defensive_rebound_percentage_pctile,-0.08641583254501702,0.08641583254501702,hurts_home_win
home_regular_three_pt_pct,-0.07881258796366619,0.07881258796366619,hurts_home_win
regular_defensive_rating_pctile_diff,-0.07805596499635477,0.07805596499635477,hurts_home_win
home_regular_second_chance_points_per_game,-0.07242124611406808,0.07242124611406808,hurts_home_win
away_regular_offensive_rebound_percentage_z,0.07120188871833619,0.07120188871833619,helps_home_win
regular_win_pct_z_diff,-0.0635432818292444,0.0635432818292444,hurts_home_win
regular_offensive_rating_diff,0.06291696006273616,0.06291696006273616,helps_home_win
home_regular_effective_field_goal_percentage_z,-0.06139592347686613,0.06139592347686613,hurts_home_win
away_regular_opponent_turnover_percentage,-0.06037680985182888,0.06037680985182888,hurts_home_win
home_regular_opponent_turnover_percentage_z,0.05783097022884282,0.05783097022884282,helps_home_win
home_regular_offensive_rating_pctile,0.0574577425752806,0.0574577425752806,helps_home_win
regular_assist_percentage_diff,0.05668743968691458,0.05668743968691458,helps_home_win
away_regular_defensive_rebounds_per_game,-0.05327347736899357,0.05327347736899357,hurts_home_win
home_regular_rebound_percentage_pctile,0.05240779804248125,0.05240779804248125,helps_home_win
home_regular_pace,-0.05178634942910478,0.05178634942910478,hurts_home_win
home_regular_assist_percentage_pctile,0.051690217014333815,0.051690217014333815,helps_home_win
regular_assist_to_turnover_ratio_pctile_diff,0.05104921817809815,0.05104921817809815,helps_home_win
home_regular_rebounds_per_game,0.04838635901003932,0.04838635901003932,helps_home_win
home_regular_steals_per_game,0.048076335876230315,0.048076335876230315,helps_home_win
away_regular_opponent_free_throw_attempt_rate,0.046506906279200115,0.046506906279200115,helps_home_win
home_regular_team_turnover_percentage_z,0.0458411120802907,0.0458411120802907,helps_home_win
home_regular_win_pct_pctile,0.04429099955063551,0.04429099955063551,helps_home_win
regular_team_turnover_percentage_z_diff,0.043320177773864356,0.043320177773864356,helps_home_win
regular_assist_percentage_z_diff,-0.043284013057714565,0.043284013057714565,hurts_home_win
regular_three_pt_pct_pctile_diff,0.043102971210599327,0.043102971210599327,helps_home_win
regular_pace_diff,-0.04250715569820846,0.04250715569820846,hurts_home_win
regular_offensive_rating_pctile_diff,0.041763107713335156,0.041763107713335156,helps_home_win
home_regular_defensive_rebound_percentage_z,0.0414054225227935,0.0414054225227935,helps_home_win
home_regular_offensive_rebounds_per_game,0.040982663357892864,0.040982663357892864,helps_home_win
away_regular_opponent_effective_field_goal_percentage_z,-0.03832771384646696,0.03832771384646696,hurts_home_win
away_regular_ft_pct,0.03773835579362853,0.03773835579362853,helps_home_win
away_regular_blocks_per_game,-0.035362835665082304,0.035362835665082304,hurts_home_win
home_regular_team_turnover_percentage_pctile,-0.03497473201331903,0.03497473201331903,hurts_home_win
home_regular_blocks_per_game,0.03319421960040815,0.03319421960040815,helps_home_win
away_regular_win_pct_pctile,-0.032991167886013334,0.032991167886013334,hurts_home_win
away_regular_steals_per_game,-0.032506393890308766,0.032506393890308766,hurts_home_win
away_regular_assist_percentage,-0.03237547205436244,0.03237547205436244,hurts_home_win
away_regular_ft_pct_z,-0.03125884704478755,0.03125884704478755,hurts_home_win
home_regular_rebound_percentage_z,-0.030830305541799333,0.030830305541799333,hurts_home_win
home_regular_assist_percentage_z,-0.030276965909208368,0.030276965909208368,hurts_home_win
away_regular_net_rating_pctile,-0.029875907080445747,0.029875907080445747,hurts_home_win
away_regular_defensive_rating_pctile,0.029826525073215933,0.029826525073215933,helps_home_win
away_regular_opponent_turnover_percentage_pctile,-0.029374697238194383,0.029374697238194383,hurts_home_win
home_regular_true_shooting_percentage_z,-0.02862030453168676,0.02862030453168676,hurts_home_win
regular_net_rating_pctile_diff,0.02786769328559366,0.02786769328559366,helps_home_win
regular_offensive_rebound_percentage_diff,0.026320690102136824,0.026320690102136824,helps_home_win
regular_rebound_percentage_z_diff,-0.025241672047209753,0.025241672047209753,hurts_home_win
regular_true_shooting_percentage_diff,0.025240711349836655,0.025240711349836655,helps_home_win
away_regular_assist_percentage_pctile,0.024775349928630976,0.024775349928630976,helps_home_win
away_regular_true_shooting_percentage_pctile,0.02437199304440356,0.02437199304440356,helps_home_win
away_regular_second_chance_points_per_game,-0.02326197043695852,0.02326197043695852,hurts_home_win
home_regular_ft_pct_pctile,-0.0225196151156386,0.0225196151156386,hurts_home_win
away_regular_rebounds_per_game,-0.021413777985824473,0.021413777985824473,hurts_home_win
regular_pace_pctile_diff,0.020167086031652917,0.020167086031652917,helps_home_win
away_regular_offensive_rebound_percentage_pctile,0.01878207679096937,0.01878207679096937,helps_home_win
home_regular_points_in_paint_per_game,0.018684509923647296,0.018684509923647296,helps_home_win
away_regular_win_pct,-0.018370709470972107,0.018370709470972107,hurts_home_win
away_regular_fouls_per_game,-0.01703588014423775,0.01703588014423775,hurts_home_win
regular_opponent_turnover_percentage_pctile_diff,0.016249090246047062,0.016249090246047062,helps_home_win
home_regular_effective_field_goal_percentage_pctile,0.01546012864753131,0.01546012864753131,helps_home_win
regular_defensive_rebound_percentage_pctile_diff,0.014944461900255078,0.014944461900255078,helps_home_win
regular_true_shooting_percentage_pctile_diff,-0.013935985427643975,0.013935985427643975,hurts_home_win
