dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6435,0.6355,0.6847,0.6395,0.2242,0.6454,0.6952,0.6309,0.2205
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6585,0.637,0.6784,0.6396,0.224,0.6358,0.6794,0.6758,0.2311
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6588,0.6385,0.6784,0.6396,0.224,0.6364,0.6801,0.6736,0.2307
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.637,0.6783,0.6396,0.224,0.6345,0.6789,0.677,0.2314
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.637,0.6783,0.6396,0.224,0.6347,0.6789,0.6769,0.2314
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6585,0.6364,0.6784,0.6396,0.224,0.6341,0.679,0.6774,0.2315
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6584,0.6367,0.6783,0.6396,0.224,0.6345,0.6791,0.6766,0.2313
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.666,0.6334,0.6795,0.6396,0.2241,0.6362,0.684,0.6409,0.2244
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6649,0.634,0.6793,0.6396,0.2239,0.643,0.6978,0.6323,0.2205
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6649,0.6346,0.6794,0.6396,0.2239,0.6432,0.6978,0.6323,0.2205
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6561,0.6382,0.6795,0.6396,0.2237,0.6419,0.6883,0.6585,0.2265
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6641,0.6408,0.6805,0.6397,0.2238,0.6452,0.6994,0.6314,0.2201
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6649,0.6337,0.6793,0.6397,0.2239,0.6426,0.6977,0.6324,0.2206
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.664,0.6402,0.6806,0.6397,0.2239,0.6444,0.6995,0.6314,0.2201
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6646,0.6355,0.6793,0.6397,0.2239,0.6426,0.6978,0.6323,0.2205
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6647,0.6355,0.6793,0.6397,0.2239,0.6428,0.6978,0.6323,0.2205
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6646,0.6337,0.6792,0.6397,0.2239,0.6428,0.6977,0.6324,0.2206
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6647,0.6355,0.6793,0.6397,0.2239,0.6426,0.6978,0.6323,0.2205
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6637,0.6405,0.6805,0.6398,0.2239,0.6444,0.6995,0.6314,0.2201
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6637,0.6405,0.6805,0.6398,0.2239,0.6444,0.6995,0.6314,0.2201
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6637,0.6394,0.6795,0.6398,0.2242,0.6475,0.6979,0.6313,0.2203
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6637,0.6405,0.6805,0.6398,0.2239,0.6444,0.6995,0.6314,0.2201
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6637,0.6411,0.6806,0.6398,0.2239,0.6446,0.6995,0.6314,0.2201
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}",70,0.6291,0.628,0.6721,0.6398,0.2249,0.594,0.6183,0.6709,0.2388
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6637,0.6397,0.6795,0.6398,0.2242,0.6475,0.6979,0.6313,0.2203
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6637,0.6394,0.6795,0.6398,0.2242,0.6475,0.6979,0.6313,0.2203
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6637,0.6405,0.6806,0.6398,0.2239,0.6448,0.6995,0.6314,0.2201
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6638,0.6391,0.6795,0.6398,0.2242,0.6475,0.6979,0.6313,0.2203
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6637,0.6405,0.6805,0.6398,0.2239,0.6446,0.6995,0.6314,0.2201
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6637,0.6397,0.6795,0.6398,0.2242,0.6475,0.6979,0.6312,0.2203
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.667,0.6316,0.6792,0.6399,0.2242,0.6401,0.6871,0.6424,0.2242
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6666,0.6315,0.6785,0.6399,0.2241,0.6451,0.6945,0.634,0.2213
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6572,0.6391,0.6795,0.6399,0.2242,0.6471,0.6888,0.6399,0.2232
all_games,minimal_strong_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",9,0.7025,0.6346,0.6799,0.6401,0.2243,0.6461,0.695,0.6325,0.2209
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6419,0.6318,0.6833,0.6401,0.2245,0.6407,0.6908,0.6334,0.2216
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6562,0.6408,0.6787,0.6402,0.2243,0.6465,0.687,0.6459,0.2247
all_games,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.665,0.6338,0.6798,0.6403,0.2243,0.6422,0.6944,0.6337,0.2213
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6671,0.6302,0.6781,0.6403,0.2243,0.643,0.6942,0.6344,0.2215
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6596,0.634,0.6789,0.6404,0.2243,0.6411,0.6853,0.6493,0.2256
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6561,0.6408,0.6803,0.6404,0.2238,0.6434,0.6882,0.6696,0.2281
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.656,0.6411,0.6801,0.6404,0.2239,0.6432,0.6887,0.6643,0.2274
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6559,0.6414,0.6802,0.6405,0.2239,0.643,0.6885,0.6673,0.2278
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6558,0.6417,0.6802,0.6405,0.2239,0.6432,0.6885,0.667,0.2278
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6564,0.6411,0.6802,0.6406,0.2239,0.6436,0.6879,0.6717,0.2284
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6681,0.6319,0.6784,0.6406,0.2245,0.6261,0.6679,0.6578,0.2304
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6563,0.6411,0.6802,0.6406,0.2239,0.6436,0.6879,0.6717,0.2284
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6681,0.6328,0.6784,0.6406,0.2245,0.6191,0.6582,0.6668,0.2338
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6563,0.6411,0.6802,0.6406,0.2239,0.6436,0.6879,0.6717,0.2284
regular_season_only,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6564,0.6411,0.6802,0.6406,0.2239,0.6438,0.688,0.6714,0.2284
all_games,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6644,0.639,0.678,0.6407,0.2246,0.6459,0.6935,0.6326,0.221
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6644,0.639,0.678,0.6407,0.2246,0.6459,0.6935,0.6326,0.221
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6682,0.6322,0.6784,0.6407,0.2245,0.6141,0.651,0.6764,0.237
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6679,0.631,0.6774,0.6407,0.2244,0.6436,0.6936,0.6347,0.2215
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.668,0.6316,0.6783,0.6407,0.2245,0.6148,0.6511,0.6767,0.237
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6644,0.639,0.678,0.6407,0.2246,0.6459,0.6935,0.6326,0.221
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6645,0.6387,0.678,0.6407,0.2246,0.6461,0.6935,0.6326,0.2209
all_games,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6646,0.6387,0.678,0.6407,0.2246,0.6457,0.6935,0.6326,0.2209
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.668,0.6331,0.6784,0.6408,0.2245,0.6162,0.653,0.6738,0.2361
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6678,0.6334,0.6784,0.6408,0.2245,0.6148,0.6522,0.675,0.2365
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.668,0.6313,0.6774,0.6408,0.2245,0.6428,0.6934,0.6349,0.2217
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.658,0.636,0.6785,0.6408,0.2245,0.6382,0.6876,0.6455,0.2247
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6592,0.6384,0.678,0.6408,0.2246,0.6449,0.6847,0.6415,0.224
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6641,0.6338,0.6786,0.6408,0.2245,0.6438,0.694,0.6337,0.2212
all_games,regular_core_diff_only,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",15,0.6924,0.6354,0.6781,0.6409,0.2246,0.6453,0.6935,0.6332,0.2212
all_games,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6658,0.6315,0.6795,0.641,0.2246,0.6444,0.6924,0.6383,0.2227
all_games,minimal_strong_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",9,0.6899,0.636,0.6785,0.641,0.2247,0.6463,0.6927,0.6344,0.2216
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.668,0.6313,0.6772,0.641,0.2245,0.6428,0.6933,0.6351,0.2217
all_games,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6577,0.6409,0.6771,0.6411,0.2248,0.6445,0.6826,0.6481,0.2256
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6681,0.6318,0.6771,0.6411,0.2246,0.6434,0.6933,0.6352,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6639,0.6329,0.6788,0.6411,0.2247,0.6413,0.6946,0.6343,0.2215
regular_season_only,minimal_era_adjusted_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",7,0.6925,0.6429,0.6766,0.6411,0.2245,0.6438,0.692,0.635,0.2218
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.668,0.6321,0.6771,0.6412,0.2246,0.6434,0.6933,0.6352,0.2217
all_games,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6655,0.636,0.6753,0.6412,0.2247,0.6424,0.6946,0.6325,0.2207
all_games,era_adjusted_core,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",66,0.7101,0.6338,0.679,0.6412,0.2247,0.6399,0.6853,0.6372,0.2233
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6588,0.6338,0.6779,0.6412,0.2247,0.6367,0.6806,0.662,0.2287
all_games,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6679,0.6318,0.677,0.6412,0.2246,0.6432,0.6932,0.6353,0.2218
all_games,percentile_core,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",51,0.7062,0.6412,0.6803,0.6412,0.2246,0.6382,0.6814,0.6389,0.224
regular_season_only,regular_core_diff_only,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",15,0.6973,0.6402,0.6761,0.6413,0.2248,0.644,0.695,0.6325,0.2208
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6626,0.6368,0.6794,0.6413,0.2247,0.6422,0.6951,0.6338,0.2213
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6643,0.6343,0.6787,0.6413,0.2246,0.6444,0.6942,0.6335,0.2211
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.659,0.6338,0.678,0.6413,0.2247,0.6361,0.6815,0.6613,0.2284
all_games,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6556,0.6387,0.6794,0.6413,0.2245,0.6394,0.6843,0.6632,0.228
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6653,0.6321,0.6785,0.6414,0.2247,0.6426,0.694,0.6347,0.2216
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.6332,0.6776,0.6414,0.2248,0.6332,0.6769,0.6738,0.2313
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6584,0.634,0.6776,0.6414,0.2248,0.6334,0.6765,0.675,0.2315
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.665,0.6327,0.6785,0.6414,0.2247,0.6417,0.6937,0.6347,0.2216
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.6332,0.6775,0.6415,0.2248,0.6319,0.676,0.6767,0.2319
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6586,0.6329,0.6775,0.6415,0.2248,0.6321,0.6761,0.6764,0.2318
all_games,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.657,0.6351,0.6782,0.6415,0.2246,0.6403,0.6839,0.6613,0.2277
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'balanced'}",66,0.6521,0.6352,0.6794,0.6415,0.225,0.6343,0.682,0.641,0.2244
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6518,0.6346,0.6806,0.6415,0.2249,0.6459,0.6952,0.6361,0.2216
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6511,0.6355,0.6792,0.6415,0.2249,0.6397,0.6864,0.6428,0.2244
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6585,0.6332,0.6775,0.6415,0.2248,0.6319,0.676,0.6767,0.2319
all_games,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6584,0.634,0.6776,0.6415,0.2248,0.6325,0.6761,0.6764,0.2318
playoffs_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'balanced'}",70,0.6338,0.616,0.6685,0.6416,0.2257,0.5761,0.6206,0.668,0.2378
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6653,0.6327,0.6784,0.6416,0.2248,0.642,0.6934,0.6349,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6654,0.6324,0.6783,0.6416,0.2248,0.6426,0.6935,0.6349,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6655,0.6327,0.6783,0.6416,0.2248,0.6426,0.6934,0.6349,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6654,0.6327,0.6783,0.6416,0.2248,0.6424,0.6934,0.6349,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6654,0.6327,0.6783,0.6416,0.2248,0.6426,0.6934,0.6349,0.2217
all_games,regular_core_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",15,0.6654,0.6327,0.6783,0.6416,0.2248,0.6426,0.6934,0.6349,0.2217
all_games,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6665,0.6296,0.6784,0.6416,0.225,0.6328,0.6806,0.6433,0.2256
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6643,0.6365,0.6793,0.6417,0.2247,0.6438,0.6951,0.6338,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.664,0.6362,0.6793,0.6417,0.2247,0.643,0.6951,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6417,0.2247,0.6434,0.6952,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6418,0.2247,0.6436,0.6952,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6418,0.2247,0.6432,0.6952,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6418,0.2247,0.6434,0.6952,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6418,0.2247,0.6436,0.6952,0.6339,0.2212
all_games,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6642,0.6362,0.6793,0.6418,0.2247,0.6434,0.6952,0.6339,0.2212
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'balanced'}",66,0.6525,0.6355,0.6783,0.6419,0.2251,0.6154,0.6546,0.6707,0.2351
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6524,0.6352,0.6784,0.6419,0.2251,0.6261,0.6676,0.6572,0.2301
all_games,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6672,0.6293,0.6781,0.642,0.2252,0.6376,0.6849,0.6434,0.2248
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'balanced'}",66,0.6525,0.6331,0.6783,0.642,0.2251,0.6117,0.6474,0.6819,0.2387
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6523,0.6322,0.6784,0.642,0.2251,0.6108,0.645,0.6857,0.2398
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6521,0.6331,0.6783,0.6421,0.2251,0.611,0.647,0.6835,0.2391
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",66,0.6523,0.6328,0.6783,0.6421,0.2251,0.6106,0.6452,0.6849,0.2396
regular_season_only,minimal_era_adjusted_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",7,0.682,0.6337,0.6746,0.6422,0.2251,0.6401,0.6865,0.6408,0.224
all_games,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",7,0.6573,0.6387,0.6788,0.6422,0.2247,0.6409,0.6844,0.6657,0.2283
all_games,minimal_era_adjusted_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",7,0.6572,0.6382,0.6789,0.6423,0.2247,0.6413,0.6842,0.668,0.2287
