dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,era_adjusted_core,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",66,0.7206,0.6432,0.684,0.6358,0.2224,0.6469,0.6984,0.6285,0.2193
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6711,0.6328,0.6828,0.6362,0.2223,0.5876,0.615,0.7577,0.2605
all_games,regular_all_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",196,0.7058,0.6401,0.6792,0.6363,0.2227,0.6449,0.6899,0.6308,0.2203
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6587,0.6354,0.6834,0.6365,0.2228,0.6438,0.691,0.634,0.2218
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6649,0.6414,0.6814,0.6367,0.2226,0.6444,0.6985,0.63,0.2196
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6711,0.6373,0.6824,0.6367,0.2225,0.5876,0.6152,0.7555,0.2599
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6649,0.6414,0.6814,0.6367,0.2226,0.6448,0.6985,0.63,0.2196
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6668,0.6373,0.6824,0.6368,0.2227,0.6509,0.6952,0.6295,0.2195
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6559,0.6391,0.6806,0.637,0.223,0.6419,0.6854,0.6364,0.2228
all_games,percentile_core,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",51,0.714,0.6382,0.683,0.637,0.223,0.6396,0.6907,0.6335,0.2216
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6598,0.6357,0.6838,0.6371,0.223,0.6467,0.6935,0.6335,0.2215
all_games,era_adjusted_core,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",66,0.7184,0.639,0.6834,0.6372,0.223,0.6445,0.6944,0.6309,0.2203
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6714,0.6325,0.6823,0.6372,0.2226,0.5861,0.6137,0.7627,0.2617
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6642,0.6388,0.6809,0.6372,0.223,0.6494,0.6974,0.6299,0.2197
regular_season_only,regular_core_diff_only,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",15,0.7077,0.6402,0.6813,0.6372,0.2231,0.65,0.6998,0.6287,0.2192
regular_season_only,regular_all_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",196,0.716,0.6394,0.6786,0.6372,0.223,0.6498,0.6936,0.63,0.22
regular_season_only,regular_plus_playoff_context,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",70,0.7058,0.637,0.677,0.6373,0.2232,0.638,0.6855,0.6334,0.2215
regular_season_only,regular_core_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",49,0.7058,0.637,0.677,0.6373,0.2232,0.638,0.6855,0.6334,0.2215
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6716,0.6319,0.6823,0.6374,0.2226,0.5863,0.6153,0.7598,0.261
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6659,0.6346,0.6806,0.6374,0.223,0.6487,0.6996,0.6301,0.2196
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6659,0.6346,0.6806,0.6374,0.223,0.6487,0.6996,0.6301,0.2196
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6593,0.636,0.6837,0.6375,0.2231,0.6436,0.6921,0.6351,0.2221
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6566,0.6382,0.6796,0.6376,0.2234,0.6401,0.6812,0.6379,0.2235
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",196,0.6713,0.6368,0.6819,0.6376,0.2227,0.5853,0.6124,0.7675,0.2627
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.644,0.6364,0.6857,0.6376,0.2234,0.6446,0.6975,0.6281,0.2192
regular_season_only,era_adjusted_diff_only,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",17,0.7056,0.6435,0.6807,0.6376,0.2232,0.6467,0.6949,0.6311,0.2204
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6439,0.6343,0.6857,0.6376,0.2233,0.6448,0.6963,0.6289,0.2196
all_games,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6713,0.6379,0.682,0.6377,0.2228,0.5858,0.6131,0.7624,0.2618
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6436,0.6364,0.6855,0.6377,0.2234,0.6463,0.6967,0.6286,0.2195
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6602,0.6362,0.6837,0.6377,0.2232,0.6444,0.6921,0.6351,0.2221
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6602,0.6362,0.6837,0.6377,0.2232,0.6442,0.6926,0.6347,0.222
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6602,0.6368,0.6838,0.6377,0.2232,0.6436,0.6921,0.6351,0.2221
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6437,0.6352,0.6855,0.6377,0.2234,0.6454,0.6963,0.6289,0.2196
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6437,0.6343,0.6855,0.6377,0.2234,0.6457,0.6961,0.629,0.2197
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6603,0.6365,0.6836,0.6378,0.2232,0.6444,0.6921,0.6351,0.2221
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",51,0.6607,0.636,0.6837,0.6378,0.2232,0.6445,0.6919,0.6353,0.2222
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6604,0.6365,0.6836,0.6378,0.2232,0.6442,0.6921,0.6352,0.2221
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6435,0.6355,0.6855,0.6378,0.2234,0.6459,0.6963,0.629,0.2196
regular_season_only,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6436,0.6352,0.6854,0.6378,0.2234,0.6454,0.6961,0.629,0.2197
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",51,0.6604,0.6362,0.6836,0.6378,0.2232,0.6442,0.6921,0.6351,0.2221
