feature_set,penalty,solver,C,class_weight,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
era_adjusted_core,l1,liblinear,0.1,None,66,0.6973,0.6646,0.7319,0.6039,0.2085,0.6798,0.7408,0.5975,0.2056
era_adjusted_core,l1,liblinear,1.0,None,66,0.6979,0.6649,0.7322,0.6039,0.2085,0.6789,0.7402,0.5982,0.2059
era_adjusted_core,l1,liblinear,10.0,None,66,0.6976,0.6644,0.7321,0.6039,0.2085,0.6787,0.74,0.5984,0.206
era_adjusted_core,l2,lbfgs,10.0,None,66,0.6977,0.6646,0.732,0.604,0.2086,0.68,0.7399,0.5988,0.206
era_adjusted_core,l1,liblinear,10.0,balanced,66,0.6836,0.676,0.7321,0.604,0.2085,0.6795,0.74,0.5961,0.2053
era_adjusted_core,l2,lbfgs,0.1,None,66,0.6971,0.6666,0.7321,0.604,0.2085,0.6785,0.7401,0.5986,0.2059
era_adjusted_core,l2,lbfgs,1.0,None,66,0.6978,0.6652,0.732,0.604,0.2085,0.68,0.7399,0.5988,0.206
era_adjusted_core,l2,lbfgs,100.0,None,66,0.6979,0.6657,0.7321,0.604,0.2085,0.68,0.7399,0.5988,0.206
regular_core_diff_only,l1,liblinear,0.1,None,15,0.6968,0.6646,0.731,0.604,0.2086,0.681,0.7407,0.5978,0.2056
era_adjusted_core,l1,liblinear,1.0,balanced,66,0.6838,0.676,0.7321,0.6042,0.2085,0.6795,0.7402,0.596,0.2053
era_adjusted_core,l2,lbfgs,1.0,balanced,66,0.6837,0.6751,0.732,0.6042,0.2085,0.6793,0.7399,0.5966,0.2054
regular_core_diff_only,l2,lbfgs,100.0,None,15,0.6966,0.6644,0.7311,0.6042,0.2087,0.6802,0.7407,0.5979,0.2057
regular_core_diff_only,l1,liblinear,10.0,None,15,0.6967,0.6646,0.7311,0.6042,0.2087,0.6804,0.7407,0.5979,0.2057
regular_core_diff_only,l1,liblinear,1.0,None,15,0.6966,0.6646,0.731,0.6042,0.2087,0.6804,0.7407,0.5979,0.2057
regular_core_diff_only,l2,lbfgs,0.1,None,15,0.6964,0.6646,0.731,0.6042,0.2087,0.6804,0.7407,0.5979,0.2057
regular_core_diff_only,l2,lbfgs,10.0,None,15,0.6966,0.6644,0.731,0.6042,0.2087,0.6802,0.7407,0.5979,0.2057
regular_core_diff_only,l2,lbfgs,1.0,None,15,0.6967,0.6644,0.7311,0.6042,0.2087,0.6802,0.7407,0.5979,0.2057
era_adjusted_core,l2,lbfgs,10.0,balanced,66,0.6832,0.676,0.732,0.6043,0.2086,0.6789,0.7399,0.5967,0.2055
era_adjusted_core,l2,lbfgs,100.0,balanced,66,0.6837,0.6757,0.732,0.6043,0.2085,0.6787,0.74,0.5966,0.2054
era_adjusted_core,l2,lbfgs,0.01,None,66,0.6966,0.6652,0.7318,0.6043,0.2086,0.6785,0.74,0.5984,0.2059
era_adjusted_core,l2,lbfgs,0.1,balanced,66,0.6838,0.6754,0.7321,0.6044,0.2086,0.6779,0.74,0.5965,0.2054
era_adjusted_core,l1,liblinear,0.1,balanced,66,0.6834,0.6801,0.7319,0.6045,0.2087,0.6808,0.7408,0.5956,0.2051
regular_core_diff_only,l2,lbfgs,0.01,None,15,0.6962,0.6646,0.7303,0.6046,0.2088,0.6791,0.7401,0.5983,0.2058
regular_core_diff_only,l1,liblinear,0.1,balanced,15,0.6851,0.6735,0.731,0.6049,0.2089,0.6772,0.7407,0.596,0.2053
regular_core_diff_only,l2,lbfgs,100.0,balanced,15,0.6853,0.6735,0.731,0.6049,0.2089,0.6789,0.7407,0.596,0.2053
regular_core_diff_only,l1,liblinear,1.0,balanced,15,0.6853,0.674,0.731,0.6049,0.2089,0.6795,0.7407,0.596,0.2053
regular_core_diff_only,l2,lbfgs,1.0,balanced,15,0.6852,0.6737,0.731,0.6049,0.2089,0.6789,0.7407,0.596,0.2053
regular_core_diff_only,l2,lbfgs,10.0,balanced,15,0.6853,0.6735,0.731,0.6049,0.2089,0.6789,0.7407,0.596,0.2053
era_adjusted_core,l2,lbfgs,0.01,balanced,66,0.6837,0.6751,0.7317,0.6049,0.2088,0.6777,0.74,0.5964,0.2054
regular_core_diff_only,l1,liblinear,10.0,balanced,15,0.6853,0.6735,0.7311,0.605,0.2089,0.6791,0.7407,0.5961,0.2053
regular_core_diff_only,l2,lbfgs,0.1,balanced,15,0.6853,0.676,0.7309,0.605,0.2089,0.6779,0.7406,0.5961,0.2053
era_adjusted_core,l1,liblinear,0.01,balanced,66,0.6838,0.6751,0.7317,0.6052,0.209,0.6804,0.7409,0.5963,0.2054
regular_core_diff_only,l2,lbfgs,0.01,balanced,15,0.6833,0.6748,0.7303,0.6054,0.2091,0.6787,0.7401,0.5966,0.2055
regular_plus_playoff_context,l2,lbfgs,10.0,balanced,67,0.6848,0.6776,0.7327,0.6054,0.2089,0.6768,0.7405,0.5962,0.2054
era_adjusted_core,l2,lbfgs,0.001,None,66,0.6944,0.6633,0.7298,0.6055,0.2092,0.6791,0.7385,0.5996,0.2063
regular_plus_playoff_context,l2,lbfgs,100.0,balanced,67,0.6849,0.6776,0.7328,0.6055,0.209,0.6762,0.7405,0.5963,0.2054
regular_plus_playoff_context,l2,lbfgs,1.0,balanced,67,0.6849,0.6782,0.7328,0.6055,0.209,0.6768,0.7405,0.5963,0.2054
regular_core_diff_only,l1,liblinear,0.01,balanced,15,0.6834,0.6726,0.731,0.6056,0.2092,0.6785,0.7408,0.5965,0.2055
regular_plus_playoff_context,l2,lbfgs,0.1,balanced,67,0.6851,0.6782,0.7329,0.6056,0.209,0.676,0.7406,0.5963,0.2054
regular_plus_playoff_context,l1,liblinear,1.0,balanced,67,0.6851,0.6754,0.7329,0.6057,0.209,0.6756,0.7406,0.5964,0.2055
regular_plus_playoff_context,l1,liblinear,10.0,balanced,67,0.6852,0.6757,0.7329,0.6058,0.2091,0.6752,0.7406,0.5967,0.2056
regular_core_home_away_diff,l2,lbfgs,10.0,balanced,49,0.6846,0.6746,0.7321,0.6059,0.2092,0.6785,0.74,0.5966,0.2056
regular_core_home_away_diff,l2,lbfgs,100.0,balanced,49,0.6846,0.6746,0.7321,0.6059,0.2092,0.6785,0.74,0.5966,0.2056
regular_core_home_away_diff,l2,lbfgs,1.0,balanced,49,0.6846,0.6743,0.7321,0.6059,0.2092,0.6783,0.74,0.5966,0.2056
regular_core_home_away_diff,l2,lbfgs,0.1,balanced,49,0.6844,0.6743,0.7322,0.606,0.2093,0.6791,0.7401,0.5966,0.2056
regular_plus_playoff_context,l2,lbfgs,0.01,balanced,67,0.6853,0.6771,0.7331,0.6061,0.2092,0.6752,0.7406,0.5965,0.2055
regular_core_home_away_diff,l1,liblinear,1.0,balanced,49,0.6846,0.6743,0.7322,0.6062,0.2093,0.6785,0.7401,0.5969,0.2057
regular_core_home_away_diff,l1,liblinear,10.0,balanced,49,0.6843,0.674,0.7322,0.6062,0.2093,0.6779,0.74,0.5971,0.2058
era_adjusted_core,l2,lbfgs,0.001,balanced,66,0.6828,0.6737,0.7298,0.6065,0.2095,0.676,0.7385,0.598,0.206
regular_core_home_away_diff,l2,lbfgs,0.01,balanced,49,0.685,0.6724,0.732,0.6066,0.2095,0.6773,0.7399,0.597,0.2057
regular_core_diff_only,l2,lbfgs,0.001,None,15,0.6946,0.6633,0.7278,0.6066,0.2097,0.6793,0.7374,0.6001,0.2066
regular_plus_playoff_context,l1,liblinear,0.1,balanced,67,0.6846,0.6713,0.7332,0.6067,0.2095,0.6745,0.7409,0.5969,0.2057
regular_core_home_away_diff,l1,liblinear,0.1,balanced,49,0.6847,0.6699,0.7323,0.6072,0.2098,0.675,0.7404,0.5973,0.2059
regular_plus_playoff_context,l1,liblinear,0.01,balanced,67,0.6841,0.6682,0.7326,0.6076,0.21,0.6754,0.7412,0.5976,0.206
regular_core_diff_only,l2,lbfgs,0.001,balanced,15,0.6822,0.6724,0.7278,0.6077,0.2101,0.6735,0.7374,0.5989,0.2065
regular_core_home_away_diff,l1,liblinear,0.01,balanced,49,0.6838,0.6674,0.7318,0.6079,0.2102,0.6762,0.7407,0.5979,0.2061
regular_all_home_away_diff,l1,liblinear,0.01,balanced,145,0.6835,0.6685,0.7317,0.6081,0.2102,0.675,0.741,0.5978,0.2061
regular_plus_playoff_context,l2,lbfgs,0.001,balanced,67,0.6829,0.6721,0.7315,0.6083,0.2101,0.6733,0.7393,0.5987,0.2064
regular_core_home_away_diff,l2,lbfgs,0.001,balanced,49,0.6827,0.6669,0.7296,0.6093,0.2106,0.6737,0.7381,0.5992,0.2067
regular_all_home_away_diff,l1,liblinear,0.001,balanced,145,0.6742,0.6655,0.7311,0.612,0.2118,0.6725,0.7408,0.6027,0.2079
regular_core_diff_only,l1,liblinear,0.001,balanced,15,0.6742,0.6655,0.7311,0.612,0.2118,0.6725,0.7407,0.6027,0.2079
regular_core_home_away_diff,l1,liblinear,0.001,balanced,49,0.6742,0.6655,0.7311,0.612,0.2118,0.6725,0.7408,0.6027,0.2079
regular_plus_playoff_context,l1,liblinear,0.001,balanced,67,0.6742,0.6655,0.7311,0.612,0.2118,0.6725,0.7408,0.6027,0.2079
era_adjusted_core,l1,liblinear,0.001,balanced,66,0.6742,0.6655,0.7311,0.612,0.2118,0.6725,0.7408,0.6027,0.2079
regular_all_home_away_diff,l2,lbfgs,0.001,balanced,145,0.6835,0.6613,0.7302,0.6133,0.2123,0.6683,0.7388,0.6045,0.209
regular_all_home_away_diff,l1,liblinear,0.1,balanced,145,0.6851,0.6624,0.7317,0.6142,0.2127,0.6633,0.7406,0.6078,0.2104
regular_all_home_away_diff,l2,lbfgs,0.01,balanced,145,0.6842,0.66,0.7315,0.6183,0.2143,0.6538,0.7399,0.6169,0.2141
regular_all_home_away_diff,l1,liblinear,1.0,balanced,145,0.6841,0.6561,0.7313,0.6212,0.2156,0.6409,0.7372,0.6345,0.2212
regular_all_home_away_diff,l2,lbfgs,0.1,balanced,145,0.6836,0.6547,0.7311,0.6219,0.2158,0.6419,0.7374,0.634,0.2209
regular_all_home_away_diff,l2,lbfgs,1.0,balanced,145,0.684,0.6553,0.7312,0.6222,0.216,0.6346,0.7342,0.6469,0.2258
regular_all_home_away_diff,l2,lbfgs,100.0,balanced,145,0.6839,0.6539,0.7317,0.6237,0.2166,0.6263,0.7329,0.6581,0.2303
regular_all_home_away_diff,l1,liblinear,10.0,balanced,145,0.6838,0.6544,0.7317,0.6238,0.2166,0.6242,0.7328,0.6581,0.2303
regular_all_home_away_diff,l2,lbfgs,10.0,balanced,145,0.684,0.6531,0.7316,0.624,0.2167,0.6254,0.7331,0.6584,0.2304
