feature,coefficient,abs_coefficient,direction
away_regular_turnovers_per_game,0.0,0.0,hurts_home_win
away_regular_true_shooting_percentage,0.0,0.0,hurts_home_win
away_regular_team_turnover_percentage,0.0,0.0,hurts_home_win
away_regular_steals_per_game,0.0,0.0,hurts_home_win
away_regular_points_per_game,0.0,0.0,hurts_home_win
away_regular_rebound_percentage,0.0,0.0,hurts_home_win
away_regular_opponent_turnover_percentage,0.0,0.0,hurts_home_win
away_regular_pace,0.0,0.0,hurts_home_win
away_regular_point_diff_per_game,0.0,0.0,hurts_home_win
regular_point_diff_per_game_diff,0.0,0.0,hurts_home_win
home_regular_defensive_rating_z,0.0,0.0,hurts_home_win
home_regular_win_pct_z,0.0,0.0,hurts_home_win
regular_team_turnover_percentage_diff,0.0,0.0,hurts_home_win
regular_true_shooting_percentage_diff,0.0,0.0,hurts_home_win
regular_rebound_percentage_diff,0.0,0.0,hurts_home_win
home_regular_effective_field_goal_percentage_z,0.0,0.0,hurts_home_win
home_regular_true_shooting_percentage_z,0.0,0.0,hurts_home_win
home_regular_net_rating_z,0.0,0.0,hurts_home_win
home_regular_rebound_percentage_z,0.0,0.0,hurts_home_win
regular_pace_diff,0.0,0.0,hurts_home_win
regular_points_per_game_diff,0.0,0.0,hurts_home_win
regular_net_rating_diff,0.0,0.0,hurts_home_win
regular_opponent_effective_field_goal_percentage_diff,0.0,0.0,hurts_home_win
regular_opponent_turnover_percentage_diff,0.0,0.0,hurts_home_win
regular_offensive_rebound_percentage_diff,0.0,0.0,hurts_home_win
regular_offensive_rating_diff,0.0,0.0,hurts_home_win
away_regular_offensive_rating_z,0.0,0.0,hurts_home_win
away_regular_win_pct_z,0.0,0.0,hurts_home_win
home_regular_opponent_turnover_percentage_z,0.0,0.0,hurts_home_win
home_regular_opponent_effective_field_goal_percentage_z,0.0,0.0,hurts_home_win
home_regular_assist_percentage_z,0.0,0.0,hurts_home_win
home_regular_three_pt_pct_z,0.0,0.0,hurts_home_win
home_regular_ft_pct_z,0.0,0.0,hurts_home_win
away_regular_true_shooting_percentage_z,0.0,0.0,hurts_home_win
away_regular_effective_field_goal_percentage_z,0.0,0.0,hurts_home_win
away_regular_three_pt_pct_z,0.0,0.0,hurts_home_win
away_regular_net_rating_z,0.0,0.0,hurts_home_win
away_regular_assist_percentage_z,0.0,0.0,hurts_home_win
away_regular_assist_to_turnover_ratio_z,0.0,0.0,hurts_home_win
away_regular_team_turnover_percentage_z,0.0,0.0,hurts_home_win
away_regular_opponent_effective_field_goal_percentage_z,0.0,0.0,hurts_home_win
away_regular_defensive_rating_z,0.0,0.0,hurts_home_win
regular_win_pct_z_diff,0.0,0.0,hurts_home_win
regular_offensive_rating_z_diff,0.0,0.0,hurts_home_win
regular_net_rating_z_diff,0.0,0.0,hurts_home_win
regular_defensive_rating_z_diff,0.0,0.0,hurts_home_win
regular_pace_z_diff,0.0,0.0,hurts_home_win
regular_true_shooting_percentage_z_diff,0.0,0.0,hurts_home_win
regular_effective_field_goal_percentage_z_diff,0.0,0.0,hurts_home_win
regular_ft_pct_z_diff,0.0,0.0,hurts_home_win
regular_rebound_percentage_z_diff,0.0,0.0,hurts_home_win
regular_offensive_rebound_percentage_z_diff,0.0,0.0,hurts_home_win
regular_defensive_rebound_percentage_z_diff,0.0,0.0,hurts_home_win
regular_assist_percentage_z_diff,0.0,0.0,hurts_home_win
regular_assist_to_turnover_ratio_z_diff,0.0,0.0,hurts_home_win
regular_team_turnover_percentage_z_diff,0.0,0.0,hurts_home_win
regular_opponent_effective_field_goal_percentage_z_diff,0.0,0.0,hurts_home_win
regular_opponent_turnover_percentage_z_diff,0.0,0.0,hurts_home_win
